p,a,c,6696,0.05111444919066499
a,c,k,4846,0.036992326878429294
c,k,a,2584,0.01972516975936056
k,a,g,2868,0.021893106373779447
a,g,e,13964,0.10659530592868069
g,e, ,3890,0.029694624753836142
e, ,c,4275,0.03263355291070681
 ,c,o,41415,0.3161447003033737
c,o,m,37001,0.28245007982434217
o,m,.,24562,0.18749598282872065
m,.,m,21134,0.1613280718631293
.,m,o,27280,0.20824405225826476
m,o,v,22213,0.16956470428199544
o,v,e,28393,0.2167402263844909
v,e,s,21369,0.16312196307576465
e,s,o,34029,0.25976308116922625
s,o,l,33149,0.253045531096379
o,l,.,22387,0.1708929471373084
l,.,k,11868,0.09059532302789905
.,k,a,12843,0.09803806316542868
k,a,r,19190,0.14648839306583947
a,r,t,24685,0.1884349131229936
r,t,o,20077,0.15325937819608437
t,o,.,12303,0.09391593016618151
o,.,m,5102,0.03894652326325758
m,o,d,12969,0.09899989419858635
o,d,e,19095,0.1457632030011571
d,e,l,7867,0.060053370935328775
e,l,.,6101,0.04657246931186486
l,.,x,668,0.005099231191661322
.,x,r,2363,0.018038148661520516
x,r,e,20815,0.15889295996172217
r,e,f,30109,0.22983944902654302
e,f,.,3052,0.02329768502537478
f,.,d,94,0.0007175564850541381
.,d,e,2166,0.01653433347475812
d,e,t,4560,0.03480912310475393
e,t,a,8764,0.06690069186185603
t,a,i,7646,0.05836634983748872
a,i,l,6689,0.051061014133267336
i,l,;,1656,0.012641207864358007
l,;,"
",4917,0.03753431103203401
;,"
","
",12785,0.09759531554699102
"
","
",i,5134,0.03919079781136112
"
",i,m,33301,0.2542058351998708
i,m,p,36730,0.28038137974509036
m,p,o,37099,0.28319817062790925
p,o,r,35892,0.27398444001662897
o,r,t,37300,0.28473252013318456
r,t, ,34145,0.26064857640610156
t, ,c,23228,0.17731278760465446
m,.,f,1739,0.013274794973501555
.,f,a,9728,0.07425946262347506
f,a,s,1722,0.013145024119821552
a,s,t,7089,0.05411444598456154
s,t,e,7393,0.05643505419154514
t,e,r,27019,0.2062516879752953
e,r,x,1694,0.012931283890230957
r,x,m,1649,0.012587772806960358
x,m,l,1853,0.014145023051120403
m,l,.,1698,0.012961818208743899
l,.,j,2711,0.020694634372146473
.,j,a,2687,0.02051142846106882
j,a,c,1676,0.012793879456922718
c,k,s,1850,0.014122122312235696
k,s,o,1656,0.012641207864358007
